"","X","location","country","ipc","technology_domain","year","value"
"7105",7105,"SVN","Slovenia","WIPO_03","Telecommunications",2003,2.7774
"7106",7106,"SVN","Slovenia","WIPO_03","Telecommunications",2004,1.6444
"7107",7107,"SVN","Slovenia","WIPO_03","Telecommunications",2005,1.7667
"7108",7108,"SVN","Slovenia","WIPO_03","Telecommunications",2006,0
"7109",7109,"SVN","Slovenia","WIPO_03","Telecommunications",2007,1
"7110",7110,"SVN","Slovenia","WIPO_03","Telecommunications",2008,2.8333
"7111",7111,"SVN","Slovenia","WIPO_03","Telecommunications",2009,4.3333
"7112",7112,"SVN","Slovenia","WIPO_03","Telecommunications",2010,4.5167
"7113",7113,"SVN","Slovenia","WIPO_03","Telecommunications",2011,0
"7114",7114,"SVN","Slovenia","WIPO_03","Telecommunications",2012,1.9583
"7115",7115,"SVN","Slovenia","WIPO_03","Telecommunications",2013,1
"7116",7116,"SVN","Slovenia","WIPO_03","Telecommunications",2014,1.0333
"7117",7117,"SVN","Slovenia","WIPO_03","Telecommunications",2015,0.4598
"7118",7118,"SVN","Slovenia","WIPO_03","Telecommunications",2016,2.0861
"7119",7119,"SVN","Slovenia","WIPO_03","Telecommunications",2017,2.2286
"7120",7120,"SVN","Slovenia","WIPO_03","Telecommunications",2018,3.5612
"7121",7121,"ZAF","South Africa","WIPO_03","Telecommunications",1999,0
"7122",7122,"ZAF","South Africa","WIPO_03","Telecommunications",2000,0.4444
"7123",7123,"ZAF","South Africa","WIPO_03","Telecommunications",2001,4.5944
"7124",7124,"ZAF","South Africa","WIPO_03","Telecommunications",2002,5.5
"7125",7125,"ZAF","South Africa","WIPO_03","Telecommunications",2003,4.7833
"7126",7126,"ZAF","South Africa","WIPO_03","Telecommunications",2004,9.4078
"7127",7127,"ZAF","South Africa","WIPO_03","Telecommunications",2005,4.5357
"7128",7128,"ZAF","South Africa","WIPO_03","Telecommunications",2006,4.4861
"7129",7129,"ZAF","South Africa","WIPO_03","Telecommunications",2007,7.1667
"7130",7130,"ZAF","South Africa","WIPO_03","Telecommunications",2008,4.5845
"7131",7131,"ZAF","South Africa","WIPO_03","Telecommunications",2009,0.8929
"7132",7132,"ZAF","South Africa","WIPO_03","Telecommunications",2010,1
"7133",7133,"ZAF","South Africa","WIPO_03","Telecommunications",2011,3.0583
"7134",7134,"ZAF","South Africa","WIPO_03","Telecommunications",2012,4.4156
"7135",7135,"ZAF","South Africa","WIPO_03","Telecommunications",2013,2.1417
"7136",7136,"ZAF","South Africa","WIPO_03","Telecommunications",2014,1.6458
"7137",7137,"ZAF","South Africa","WIPO_03","Telecommunications",2015,3.7496
"7138",7138,"ZAF","South Africa","WIPO_03","Telecommunications",2016,4.3556
"7139",7139,"ZAF","South Africa","WIPO_03","Telecommunications",2017,4.5533
"7140",7140,"ZAF","South Africa","WIPO_03","Telecommunications",2018,1.5167
"7141",7141,"LKA","Sri Lanka","WIPO_03","Telecommunications",1999,0
"7142",7142,"LKA","Sri Lanka","WIPO_03","Telecommunications",2000,0
"7143",7143,"LKA","Sri Lanka","WIPO_03","Telecommunications",2001,0.25
"7144",7144,"LKA","Sri Lanka","WIPO_03","Telecommunications",2002,0
"7145",7145,"LKA","Sri Lanka","WIPO_03","Telecommunications",2003,0
"7146",7146,"LKA","Sri Lanka","WIPO_03","Telecommunications",2004,0
"7147",7147,"LKA","Sri Lanka","WIPO_03","Telecommunications",2005,0.0938
"7148",7148,"LKA","Sri Lanka","WIPO_03","Telecommunications",2006,0
"7149",7149,"LKA","Sri Lanka","WIPO_03","Telecommunications",2007,1
"7150",7150,"LKA","Sri Lanka","WIPO_03","Telecommunications",2008,1.6667
"7151",7151,"LKA","Sri Lanka","WIPO_03","Telecommunications",2009,0
"7152",7152,"LKA","Sri Lanka","WIPO_03","Telecommunications",2010,0
"7153",7153,"LKA","Sri Lanka","WIPO_03","Telecommunications",2011,0.2107
"7154",7154,"LKA","Sri Lanka","WIPO_03","Telecommunications",2012,0
"7155",7155,"LKA","Sri Lanka","WIPO_03","Telecommunications",2013,0
"7156",7156,"LKA","Sri Lanka","WIPO_03","Telecommunications",2014,0
"7157",7157,"LKA","Sri Lanka","WIPO_03","Telecommunications",2015,0
"7158",7158,"LKA","Sri Lanka","WIPO_03","Telecommunications",2016,0.8333
"7159",7159,"LKA","Sri Lanka","WIPO_03","Telecommunications",2017,0.1176
"7160",7160,"LKA","Sri Lanka","WIPO_03","Telecommunications",2018,0
"7161",7161,"TWN","Chinese Taipei","WIPO_03","Telecommunications",1999,0.5
"7162",7162,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2000,40.8048
"7163",7163,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2001,353.9466
"7164",7164,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2002,417.3813
"7165",7165,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2003,436.4693
"7166",7166,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2004,537.2828
"7167",7167,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2005,682.8905
"7168",7168,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2006,789.5102
"7169",7169,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2007,723.238
"7170",7170,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2008,763.5678
"7171",7171,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2009,721.7543
"7172",7172,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2010,568.9446
"7173",7173,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2011,466.4316
"7174",7174,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2012,487.248
"7175",7175,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2013,554.9445
"7176",7176,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2014,522.5232
"7177",7177,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2015,388.8139
"7178",7178,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2016,321.4049
"7179",7179,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2017,340.3774
"7180",7180,"TWN","Chinese Taipei","WIPO_03","Telecommunications",2018,249.9789
"7181",7181,"THA","Thailand","WIPO_03","Telecommunications",1999,0
"7182",7182,"THA","Thailand","WIPO_03","Telecommunications",2000,0
"7183",7183,"THA","Thailand","WIPO_03","Telecommunications",2001,0.5415
"7184",7184,"THA","Thailand","WIPO_03","Telecommunications",2002,0.0877
"7185",7185,"THA","Thailand","WIPO_03","Telecommunications",2003,0.3623
"7186",7186,"THA","Thailand","WIPO_03","Telecommunications",2004,0.5
"7187",7187,"THA","Thailand","WIPO_03","Telecommunications",2005,2.101
"7188",7188,"THA","Thailand","WIPO_03","Telecommunications",2006,2.5216
"7189",7189,"THA","Thailand","WIPO_03","Telecommunications",2007,1.602
"7190",7190,"THA","Thailand","WIPO_03","Telecommunications",2008,0.2212
"7191",7191,"THA","Thailand","WIPO_03","Telecommunications",2009,1.1458
"7192",7192,"THA","Thailand","WIPO_03","Telecommunications",2010,1.1357
"7193",7193,"THA","Thailand","WIPO_03","Telecommunications",2011,2.1167
"7194",7194,"THA","Thailand","WIPO_03","Telecommunications",2012,0.25
"7195",7195,"THA","Thailand","WIPO_03","Telecommunications",2013,1.8674
"7196",7196,"THA","Thailand","WIPO_03","Telecommunications",2014,0.1834
"7197",7197,"THA","Thailand","WIPO_03","Telecommunications",2015,0.7115
"7198",7198,"THA","Thailand","WIPO_03","Telecommunications",2016,0.5277
"7199",7199,"THA","Thailand","WIPO_03","Telecommunications",2017,0.1333
"7200",7200,"THA","Thailand","WIPO_03","Telecommunications",2018,0.9929
"7201",7201,"TUN","Tunisia","WIPO_03","Telecommunications",1999,0
"7202",7202,"TUN","Tunisia","WIPO_03","Telecommunications",2000,0
"7203",7203,"TUN","Tunisia","WIPO_03","Telecommunications",2001,0.25
"7204",7204,"TUN","Tunisia","WIPO_03","Telecommunications",2002,0.1357
"7205",7205,"TUN","Tunisia","WIPO_03","Telecommunications",2003,0
"7206",7206,"TUN","Tunisia","WIPO_03","Telecommunications",2004,0
"7207",7207,"TUN","Tunisia","WIPO_03","Telecommunications",2005,1
"7208",7208,"TUN","Tunisia","WIPO_03","Telecommunications",2006,0
"7209",7209,"TUN","Tunisia","WIPO_03","Telecommunications",2007,0.0667
"7210",7210,"TUN","Tunisia","WIPO_03","Telecommunications",2008,1.75
"7211",7211,"TUN","Tunisia","WIPO_03","Telecommunications",2009,0.6
"7212",7212,"TUN","Tunisia","WIPO_03","Telecommunications",2010,0.25
"7213",7213,"TUN","Tunisia","WIPO_03","Telecommunications",2011,0.5
"7214",7214,"TUN","Tunisia","WIPO_03","Telecommunications",2012,0.3958
"7215",7215,"TUN","Tunisia","WIPO_03","Telecommunications",2013,0
"7216",7216,"TUN","Tunisia","WIPO_03","Telecommunications",2014,0
"7217",7217,"TUN","Tunisia","WIPO_03","Telecommunications",2015,0.5
"7218",7218,"TUN","Tunisia","WIPO_03","Telecommunications",2016,0.2667
"7219",7219,"TUN","Tunisia","WIPO_03","Telecommunications",2017,0
"7220",7220,"TUN","Tunisia","WIPO_03","Telecommunications",2018,0.0278
"7221",7221,"UKR","Ukraine","WIPO_03","Telecommunications",1999,0
"7222",7222,"UKR","Ukraine","WIPO_03","Telecommunications",2000,0
"7223",7223,"UKR","Ukraine","WIPO_03","Telecommunications",2001,0
"7224",7224,"UKR","Ukraine","WIPO_03","Telecommunications",2002,0.2
"7225",7225,"UKR","Ukraine","WIPO_03","Telecommunications",2003,0
"7226",7226,"UKR","Ukraine","WIPO_03","Telecommunications",2004,0
"7227",7227,"UKR","Ukraine","WIPO_03","Telecommunications",2005,0.016
"7228",7228,"UKR","Ukraine","WIPO_03","Telecommunications",2006,0
"7229",7229,"UKR","Ukraine","WIPO_03","Telecommunications",2007,0.25
"7230",7230,"UKR","Ukraine","WIPO_03","Telecommunications",2008,1
"7231",7231,"UKR","Ukraine","WIPO_03","Telecommunications",2009,10
"7232",7232,"UKR","Ukraine","WIPO_03","Telecommunications",2010,2.1111
"7233",7233,"UKR","Ukraine","WIPO_03","Telecommunications",2011,1.3565
"7234",7234,"UKR","Ukraine","WIPO_03","Telecommunications",2012,0.0714
"7235",7235,"UKR","Ukraine","WIPO_03","Telecommunications",2013,0.8321
"7236",7236,"UKR","Ukraine","WIPO_03","Telecommunications",2014,3.8666
"7237",7237,"UKR","Ukraine","WIPO_03","Telecommunications",2015,3.0678
"7238",7238,"UKR","Ukraine","WIPO_03","Telecommunications",2016,1.1458
"7239",7239,"UKR","Ukraine","WIPO_03","Telecommunications",2017,0.4226
"7240",7240,"UKR","Ukraine","WIPO_03","Telecommunications",2018,1.0069
"7241",7241,"ARE","United Arab Emirates","WIPO_03","Telecommunications",1999,0
"7242",7242,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2000,0
"7243",7243,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2001,0.3889
"7244",7244,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2002,0
"7245",7245,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2003,0
"7246",7246,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2004,1.25
"7247",7247,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2005,0
"7248",7248,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2006,0
"7249",7249,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2007,0.0667
"7250",7250,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2008,2
"7251",7251,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2009,0.25
"7252",7252,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2010,0.3
"7253",7253,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2011,1
"7254",7254,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2012,2.706
"7255",7255,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2013,4.9625
"7256",7256,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2014,1.2708
"7257",7257,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2015,3.0762
"7258",7258,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2016,2.4397
"7259",7259,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2017,3.7835
"7260",7260,"ARE","United Arab Emirates","WIPO_03","Telecommunications",2018,3.2103
"7261",7261,"URY","Uruguay","WIPO_03","Telecommunications",1999,0
"7262",7262,"URY","Uruguay","WIPO_03","Telecommunications",2000,0
"7263",7263,"URY","Uruguay","WIPO_03","Telecommunications",2001,0
"7264",7264,"URY","Uruguay","WIPO_03","Telecommunications",2002,0
"7265",7265,"URY","Uruguay","WIPO_03","Telecommunications",2003,0.5
"7266",7266,"URY","Uruguay","WIPO_03","Telecommunications",2004,0
"7267",7267,"URY","Uruguay","WIPO_03","Telecommunications",2005,0
"7268",7268,"URY","Uruguay","WIPO_03","Telecommunications",2006,0
"7269",7269,"URY","Uruguay","WIPO_03","Telecommunications",2007,0
"7270",7270,"URY","Uruguay","WIPO_03","Telecommunications",2008,0
"7271",7271,"URY","Uruguay","WIPO_03","Telecommunications",2009,0
"7272",7272,"URY","Uruguay","WIPO_03","Telecommunications",2010,0
"7273",7273,"URY","Uruguay","WIPO_03","Telecommunications",2011,0
"7274",7274,"URY","Uruguay","WIPO_03","Telecommunications",2012,0
"7275",7275,"URY","Uruguay","WIPO_03","Telecommunications",2013,0
"7276",7276,"URY","Uruguay","WIPO_03","Telecommunications",2014,0
"7277",7277,"URY","Uruguay","WIPO_03","Telecommunications",2015,0
"7278",7278,"URY","Uruguay","WIPO_03","Telecommunications",2016,0
"7279",7279,"URY","Uruguay","WIPO_03","Telecommunications",2017,0
"7280",7280,"VEN","Venezuela","WIPO_03","Telecommunications",1999,0
"7281",7281,"VEN","Venezuela","WIPO_03","Telecommunications",2000,0
"7282",7282,"VEN","Venezuela","WIPO_03","Telecommunications",2001,0.16
"7283",7283,"VEN","Venezuela","WIPO_03","Telecommunications",2002,0.2333
"7284",7284,"VEN","Venezuela","WIPO_03","Telecommunications",2003,0
"7285",7285,"VEN","Venezuela","WIPO_03","Telecommunications",2004,0
"7286",7286,"VEN","Venezuela","WIPO_03","Telecommunications",2005,0.5
"7287",7287,"VEN","Venezuela","WIPO_03","Telecommunications",2006,1.1
"7288",7288,"VEN","Venezuela","WIPO_03","Telecommunications",2007,0.0625
"7289",7289,"VEN","Venezuela","WIPO_03","Telecommunications",2008,0
"7290",7290,"VEN","Venezuela","WIPO_03","Telecommunications",2009,0
"7291",7291,"VEN","Venezuela","WIPO_03","Telecommunications",2010,0
"7292",7292,"VEN","Venezuela","WIPO_03","Telecommunications",2011,0
"7293",7293,"VEN","Venezuela","WIPO_03","Telecommunications",2012,0
"7294",7294,"VEN","Venezuela","WIPO_03","Telecommunications",2013,0
"7295",7295,"VEN","Venezuela","WIPO_03","Telecommunications",2014,0
"7296",7296,"VEN","Venezuela","WIPO_03","Telecommunications",2015,0
"7297",7297,"VEN","Venezuela","WIPO_03","Telecommunications",2016,0
"7298",7298,"VEN","Venezuela","WIPO_03","Telecommunications",2017,0
"7299",7299,"VEN","Venezuela","WIPO_03","Telecommunications",2018,0
"7300",7300,"WLD","World","WIPO_03","Telecommunications",1999,367.5815
"7301",7301,"WLD","World","WIPO_03","Telecommunications",2000,1157.8228
"7302",7302,"WLD","World","WIPO_03","Telecommunications",2001,9740.7864
"7303",7303,"WLD","World","WIPO_03","Telecommunications",2002,9831.4456
"7304",7304,"WLD","World","WIPO_03","Telecommunications",2003,10602.7639
"7305",7305,"WLD","World","WIPO_03","Telecommunications",2004,12466.9376
"7306",7306,"WLD","World","WIPO_03","Telecommunications",2005,14712.7688
"7307",7307,"WLD","World","WIPO_03","Telecommunications",2006,14338.4727
"7308",7308,"WLD","World","WIPO_03","Telecommunications",2007,14098.8024
"7309",7309,"WLD","World","WIPO_03","Telecommunications",2008,13320.919
"7310",7310,"WLD","World","WIPO_03","Telecommunications",2009,12211.8049
"7311",7311,"WLD","World","WIPO_03","Telecommunications",2010,10420.3004
"7312",7312,"WLD","World","WIPO_03","Telecommunications",2011,9609.0698
"7313",7313,"WLD","World","WIPO_03","Telecommunications",2012,10322.7729
"7314",7314,"WLD","World","WIPO_03","Telecommunications",2013,10599.0419
"7315",7315,"WLD","World","WIPO_03","Telecommunications",2014,10136.1424
"7316",7316,"WLD","World","WIPO_03","Telecommunications",2015,9842.281
"7317",7317,"WLD","World","WIPO_03","Telecommunications",2016,9877.2378
"7318",7318,"WLD","World","WIPO_03","Telecommunications",2017,9040.8334
"7319",7319,"WLD","World","WIPO_03","Telecommunications",2018,6844.9039
"7320",7320,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",1999,0
"7321",7321,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2000,0
"7322",7322,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2001,0.5833
"7323",7323,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2002,0.5
"7324",7324,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2003,0.25
"7325",7325,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2004,0
"7326",7326,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2005,0.4762
"7327",7327,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2006,0
"7328",7328,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2007,0
"7329",7329,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2008,0
"7330",7330,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2009,0.25
"7331",7331,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2010,0
"7332",7332,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2011,0
"7333",7333,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2012,0.25
"7334",7334,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2013,0
"7335",7335,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2014,0
"7336",7336,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2015,0
"7337",7337,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2016,0
"7338",7338,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2017,0
"7339",7339,"YUG","Former Yugoslavia","WIPO_03","Telecommunications",2018,0
"7340",7340,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",1999,0
"7341",7341,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2000,0
"7342",7342,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2001,0
"7343",7343,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2002,0
"7344",7344,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2003,0
"7345",7345,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2004,0
"7346",7346,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2005,0
"7347",7347,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2006,0
"7348",7348,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2007,0
"7349",7349,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2008,0
"7350",7350,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2009,0
"7351",7351,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2010,0
"7352",7352,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2011,0
"7353",7353,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2012,0
"7354",7354,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2013,0
"7355",7355,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2014,0
"7356",7356,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2015,0
"7357",7357,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2016,0
"7358",7358,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2017,0
"7359",7359,"EU28","European Union (28 countries)","WIPO_03","Telecommunications",2018,0
"7360",7360,"AUS","Australia","WIPO_04","Digital communication",1999,1.2667
"7361",7361,"AUS","Australia","WIPO_04","Digital communication",2000,3.525
"7362",7362,"AUS","Australia","WIPO_04","Digital communication",2001,36.9941
"7363",7363,"AUS","Australia","WIPO_04","Digital communication",2002,65.4245
"7364",7364,"AUS","Australia","WIPO_04","Digital communication",2003,80.0849
"7365",7365,"AUS","Australia","WIPO_04","Digital communication",2004,83.802
"7366",7366,"AUS","Australia","WIPO_04","Digital communication",2005,80.7253
"7367",7367,"AUS","Australia","WIPO_04","Digital communication",2006,57.3447
"7368",7368,"AUS","Australia","WIPO_04","Digital communication",2007,61.255
"7369",7369,"AUS","Australia","WIPO_04","Digital communication",2008,52.3862
"7370",7370,"AUS","Australia","WIPO_04","Digital communication",2009,50.2169
"7371",7371,"AUS","Australia","WIPO_04","Digital communication",2010,63.4927
"7372",7372,"AUS","Australia","WIPO_04","Digital communication",2011,57.894
"7373",7373,"AUS","Australia","WIPO_04","Digital communication",2012,83.0974
"7374",7374,"AUS","Australia","WIPO_04","Digital communication",2013,133.2614
"7375",7375,"AUS","Australia","WIPO_04","Digital communication",2014,108.3564
"7376",7376,"AUS","Australia","WIPO_04","Digital communication",2015,134.2457
"7377",7377,"AUS","Australia","WIPO_04","Digital communication",2016,145.3856
"7378",7378,"AUS","Australia","WIPO_04","Digital communication",2017,123.4499
"7379",7379,"AUS","Australia","WIPO_04","Digital communication",2018,78.3736
"7380",7380,"AUT","Austria","WIPO_04","Digital communication",1999,0
"7381",7381,"AUT","Austria","WIPO_04","Digital communication",2000,1.1778
"7382",7382,"AUT","Austria","WIPO_04","Digital communication",2001,9.4986
"7383",7383,"AUT","Austria","WIPO_04","Digital communication",2002,13.5507
"7384",7384,"AUT","Austria","WIPO_04","Digital communication",2003,11.8327
"7385",7385,"AUT","Austria","WIPO_04","Digital communication",2004,34.4257
"7386",7386,"AUT","Austria","WIPO_04","Digital communication",2005,32.9261
"7387",7387,"AUT","Austria","WIPO_04","Digital communication",2006,22.375
"7388",7388,"AUT","Austria","WIPO_04","Digital communication",2007,20.9734
"7389",7389,"AUT","Austria","WIPO_04","Digital communication",2008,20.3827
"7390",7390,"AUT","Austria","WIPO_04","Digital communication",2009,15.9767
"7391",7391,"AUT","Austria","WIPO_04","Digital communication",2010,12.7889
"7392",7392,"AUT","Austria","WIPO_04","Digital communication",2011,28.5704
"7393",7393,"AUT","Austria","WIPO_04","Digital communication",2012,29.3293
"7394",7394,"AUT","Austria","WIPO_04","Digital communication",2013,43.0039
"7395",7395,"AUT","Austria","WIPO_04","Digital communication",2014,52.514
"7396",7396,"AUT","Austria","WIPO_04","Digital communication",2015,42.6179
"7397",7397,"AUT","Austria","WIPO_04","Digital communication",2016,66.1671
"7398",7398,"AUT","Austria","WIPO_04","Digital communication",2017,54.6053
"7399",7399,"AUT","Austria","WIPO_04","Digital communication",2018,41.3498
"7400",7400,"BEL","Belgium","WIPO_04","Digital communication",1999,0.0278
"7401",7401,"BEL","Belgium","WIPO_04","Digital communication",2000,5.4177
"7402",7402,"BEL","Belgium","WIPO_04","Digital communication",2001,34.8044
"7403",7403,"BEL","Belgium","WIPO_04","Digital communication",2002,37.4955
"7404",7404,"BEL","Belgium","WIPO_04","Digital communication",2003,54.1461
"7405",7405,"BEL","Belgium","WIPO_04","Digital communication",2004,58.0607
"7406",7406,"BEL","Belgium","WIPO_04","Digital communication",2005,66.1083
"7407",7407,"BEL","Belgium","WIPO_04","Digital communication",2006,43.7173
"7408",7408,"BEL","Belgium","WIPO_04","Digital communication",2007,32.1946
"7409",7409,"BEL","Belgium","WIPO_04","Digital communication",2008,31.3241
"7410",7410,"BEL","Belgium","WIPO_04","Digital communication",2009,33.4718
"7411",7411,"BEL","Belgium","WIPO_04","Digital communication",2010,46.5612
"7412",7412,"BEL","Belgium","WIPO_04","Digital communication",2011,49.8457
"7413",7413,"BEL","Belgium","WIPO_04","Digital communication",2012,62.0316
"7414",7414,"BEL","Belgium","WIPO_04","Digital communication",2013,77.3443
"7415",7415,"BEL","Belgium","WIPO_04","Digital communication",2014,84.6856
"7416",7416,"BEL","Belgium","WIPO_04","Digital communication",2015,83.1173
"7417",7417,"BEL","Belgium","WIPO_04","Digital communication",2016,65.8746
"7418",7418,"BEL","Belgium","WIPO_04","Digital communication",2017,68.584
"7419",7419,"BEL","Belgium","WIPO_04","Digital communication",2018,37.0723
"7420",7420,"CAN","Canada","WIPO_04","Digital communication",1999,4
"7421",7421,"CAN","Canada","WIPO_04","Digital communication",2000,63.3219
"7422",7422,"CAN","Canada","WIPO_04","Digital communication",2001,385.7513
"7423",7423,"CAN","Canada","WIPO_04","Digital communication",2002,375.7936
"7424",7424,"CAN","Canada","WIPO_04","Digital communication",2003,397.0283
"7425",7425,"CAN","Canada","WIPO_04","Digital communication",2004,455.1183
"7426",7426,"CAN","Canada","WIPO_04","Digital communication",2005,414.0171
"7427",7427,"CAN","Canada","WIPO_04","Digital communication",2006,474.7411
"7428",7428,"CAN","Canada","WIPO_04","Digital communication",2007,420.4225
"7429",7429,"CAN","Canada","WIPO_04","Digital communication",2008,437.3489
"7430",7430,"CAN","Canada","WIPO_04","Digital communication",2009,460.3277
"7431",7431,"CAN","Canada","WIPO_04","Digital communication",2010,615.7226
"7432",7432,"CAN","Canada","WIPO_04","Digital communication",2011,781.2581
"7433",7433,"CAN","Canada","WIPO_04","Digital communication",2012,1043.3679
"7434",7434,"CAN","Canada","WIPO_04","Digital communication",2013,1083.9634
"7435",7435,"CAN","Canada","WIPO_04","Digital communication",2014,971.7243
"7436",7436,"CAN","Canada","WIPO_04","Digital communication",2015,996.408
"7437",7437,"CAN","Canada","WIPO_04","Digital communication",2016,949.7034
"7438",7438,"CAN","Canada","WIPO_04","Digital communication",2017,857.0453
"7439",7439,"CAN","Canada","WIPO_04","Digital communication",2018,749.4871
"7440",7440,"CZE","Czech Republic","WIPO_04","Digital communication",1999,0
"7441",7441,"CZE","Czech Republic","WIPO_04","Digital communication",2000,0
"7442",7442,"CZE","Czech Republic","WIPO_04","Digital communication",2001,0.1
"7443",7443,"CZE","Czech Republic","WIPO_04","Digital communication",2002,0.0857
"7444",7444,"CZE","Czech Republic","WIPO_04","Digital communication",2003,1.25
"7445",7445,"CZE","Czech Republic","WIPO_04","Digital communication",2004,1.625
"7446",7446,"CZE","Czech Republic","WIPO_04","Digital communication",2005,2.1024
"7447",7447,"CZE","Czech Republic","WIPO_04","Digital communication",2006,3.6607
"7448",7448,"CZE","Czech Republic","WIPO_04","Digital communication",2007,1.6919
"7449",7449,"CZE","Czech Republic","WIPO_04","Digital communication",2008,11.4582
"7450",7450,"CZE","Czech Republic","WIPO_04","Digital communication",2009,10.4596
"7451",7451,"CZE","Czech Republic","WIPO_04","Digital communication",2010,10.4838
"7452",7452,"CZE","Czech Republic","WIPO_04","Digital communication",2011,12.7096
"7453",7453,"CZE","Czech Republic","WIPO_04","Digital communication",2012,21.1285
"7454",7454,"CZE","Czech Republic","WIPO_04","Digital communication",2013,26.3836
"7455",7455,"CZE","Czech Republic","WIPO_04","Digital communication",2014,36.4467
"7456",7456,"CZE","Czech Republic","WIPO_04","Digital communication",2015,30.9756
"7457",7457,"CZE","Czech Republic","WIPO_04","Digital communication",2016,36.2171
"7458",7458,"CZE","Czech Republic","WIPO_04","Digital communication",2017,27.9064
"7459",7459,"CZE","Czech Republic","WIPO_04","Digital communication",2018,22.7837
"7460",7460,"DNK","Denmark","WIPO_04","Digital communication",1999,0.6667
"7461",7461,"DNK","Denmark","WIPO_04","Digital communication",2000,4.0417
"7462",7462,"DNK","Denmark","WIPO_04","Digital communication",2001,35.3123
"7463",7463,"DNK","Denmark","WIPO_04","Digital communication",2002,19.9578
"7464",7464,"DNK","Denmark","WIPO_04","Digital communication",2003,29.889
